,Pred_AKIEC,Pred_BCC,Pred_BKL,Pred_DF,Pred_MEL,Pred_NV,Pred_VASC
True_AKIEC,420,50,22,11,4,11,6
True_BCC,10,256,18,4,11,26,3
True_BKL,29,75,357,16,76,147,0
True_DF,35,28,3,50,5,17,9
True_MEL,6,27,58,3,373,235,3
True_NV,31,94,107,39,196,3693,16
True_VASC,10,13,0,4,2,6,126
