epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,1.7841645151517966,1.6783047239735442,0.5930870790683875,0.6204033214709371
2,1.6838117628865898,1.6121232936967094,0.621569500074173,0.66785290628707
3,1.6418110143516866,1.5882920724041056,0.6423379320575582,0.6162514827995255
4,1.6003681551223683,1.5804943273652274,0.6564307966177125,0.6512455516014235
5,1.5630527469219189,1.5581962612440001,0.6714137368342976,0.7206405693950177
6,1.551687594838617,1.5135213339103843,0.6766058448301439,0.6892052194543298
7,1.536891416350812,1.5321299804831452,0.6792760717994363,0.7236061684460261
8,1.5223587316359388,1.5280270441523138,0.685209909508975,0.6743772241992882
9,1.5100815324421744,1.4617520143400948,0.6933689363595905,0.7141162514827996
10,1.4958146787932698,1.4536371500986927,0.7025663848093755,0.7200474495848161
11,1.4789878412445574,1.451909211446654,0.7126539089155911,0.7052194543297746
12,1.4848228935946786,1.450369949610728,0.7031597685803294,0.7384341637010676
13,1.4774882420544375,1.4523656435732573,0.711318795430945,0.7212336892052195
14,1.4575818347704919,1.427278977520061,0.7219997033081145,0.7241992882562278
15,1.4479985570455614,1.4455400300475787,0.7190327844533452,0.7431791221826809
16,1.4381792262832136,1.4023209112995076,0.7194778222815607,0.7366548042704626
17,1.4407785842768954,1.4404638015998985,0.7258566978193146,0.6963226571767497
18,1.437639966395229,1.4410186016334678,0.719626168224299,0.6785290628706999
19,1.4242170416348354,1.4644227747647267,0.7218513573653761,0.7058125741399762
20,1.4225379996955112,1.3958131704690322,0.7277851950749147,0.7408066429418743
21,1.3850303713179313,1.3693789131236527,0.7392078326657766,0.7663107947805456
22,1.3728215095556178,1.3702950297661547,0.7525589675122385,0.7520759193357058
23,1.3699119718153894,1.3719305992126465,0.7491470108292538,0.763938315539739
24,1.3654579771638482,1.3604501800717048,0.7475152054591306,0.7443653618030842
25,1.359287294166348,1.3576514248578053,0.7507788161993769,0.7473309608540926
26,1.3589993088166297,1.3666946573077507,0.7552291944815309,0.7330960854092526
27,1.331935461663522,1.3334638375156331,0.7595312268209464,0.7580071174377224
28,1.3299771253531578,1.329773596997531,0.7670968699006082,0.758600237247924
29,1.329748752557836,1.3354104869770553,0.7576027295653464,0.7556346381969158
30,1.3178409869071996,1.328362132018467,0.7650200267022697,0.7609727164887308
31,1.3146337852658818,1.3390565593287629,0.7716955941255007,0.7473309608540926
