Class,svm_precision,svm_recall,svm_f1,svm_support,cnn_precision,cnn_recall,cnn_f1,cnn_support,resnet_precision,resnet_recall,resnet_f1,resnet_support
AKIEC,0.7287234042553191,0.8353658536585366,0.7784090909090909,164.0,0.6485148514851485,0.7987804878048781,0.7158469945355191,164.0,0.7951807228915663,0.8048780487804879,0.8,164.0
BCC,0.4072164948453608,0.7669902912621359,0.531986531986532,103.0,0.3492063492063492,0.6407766990291263,0.4520547945205479,103.0,0.6145833333333334,0.5728155339805825,0.592964824120603,103.0
BKL,0.4188679245283019,0.5068493150684932,0.4586776859504132,219.0,0.5157232704402516,0.3744292237442922,0.4338624338624338,219.0,0.6378378378378379,0.5388127853881278,0.5841584158415841,219.0
DF,0.3469387755102041,0.3617021276595745,0.3541666666666667,47.0,0.3225806451612903,0.2127659574468085,0.2564102564102564,47.0,0.5277777777777778,0.4042553191489361,0.4578313253012048,47.0
MEL,0.3830334190231362,0.6742081447963801,0.4885245901639344,221.0,0.4912280701754385,0.5067873303167421,0.4988864142538975,221.0,0.5736040609137056,0.5113122171945701,0.5406698564593302,221.0
NV,0.9564315352697096,0.7059724349157733,0.8123348017621146,1306.0,0.9008863819500404,0.8560490045941807,0.8778955634079308,1306.0,0.8763716166788588,0.9173047473200612,0.8963711185933408,1306.0
VASC,0.6774193548387096,0.8235294117647058,0.7433628318584071,51.0,0.6885245901639344,0.8235294117647058,0.75,51.0,0.625,0.7843137254901961,0.6956521739130435,51.0
