Metric,SVM,CNN,RESNET
Accuracy,0.6901942207484605,0.7394599715774515,0.7953576504026527
Precision,0.7758363301519424,0.7535116762646609,0.7870140183676507
Recall,0.6901942207484605,0.7394599715774515,0.7953576504026527
F1,0.7135644908633384,0.7418584601456493,0.7898394705224376
