Metric_Type,svm_precision,svm_recall,svm_f1,svm_support,cnn_precision,cnn_recall,cnn_f1,cnn_support,resnet_precision,resnet_recall,resnet_f1,resnet_support
accuracy,0.6901942207484605,0.6901942207484605,0.6901942207484605,0.6901942207484605,0.7394599715774515,0.7394599715774515,0.7394599715774515,0.7394599715774515,0.7953576504026527,0.7953576504026527,0.7953576504026527,0.7953576504026527
macro avg,0.5598044154672487,0.6678025113036571,0.595351742756737,2111.0,0.5595234512260647,0.6018740163858192,0.5692794938557979,2111.0,0.6643364784904399,0.6476703396147088,0.6525211020327296,2111.0
weighted avg,0.7758363301519424,0.6901942207484605,0.7135644908633384,2111.0,0.7535116762646609,0.7394599715774515,0.7418584601456493,2111.0,0.7870140183676507,0.7953576504026527,0.7898394705224376,2111.0
